Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,Total,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,sTotal,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,sTotal,An,Ab,Or,Cn,sAn,sAb,sOr,sCn
BB11-1,U,63.55,0,19.32,0.81,0,0,0,0.23,1.95,0.69,14.53,101.08,0.21,0.03,0.11,0.09,0.09,0,0.02,0.04,0.1,0.04,0.14,0.32,2.939,0,1.053,0.028,0,0,0,0.006,0.035,0.062,0.857,4.98,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.007,0.016,0.02,0,0.065,0.898,0.037,0,0.007,0.007,0.003
BB11-1,U,65.34,0,18.74,0.91,0.18,0,0.04,0.12,0.95,3.37,11.6,101.25,0.21,0.03,0.11,0.09,0.09,0.01,0.02,0.04,0.08,0.08,0.12,0.32,2.968,0,1.003,0.031,0.007,0,0.002,0.003,0.017,0.297,0.672,5,0.01,0,0.011,0.006,0.007,0,0.002,0.002,0.003,0.015,0.014,0.03,0.002,0.3,0.68,0.017,0.002,0.011,0.012,0.003
BB11-1,U,64.56,0,19.09,0.77,0,0,0,0.12,1.34,2.35,12.93,101.16,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.09,0.07,0.13,0.32,2.954,0,1.029,0.027,0,0,0,0.003,0.024,0.208,0.755,5,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.013,0.015,0.03,0,0.211,0.764,0.024,0,0.011,0.011,0.003
BB11-1,U,64.36,0,19.09,0.27,0,0,0.05,0.29,1.33,3.38,11.52,100.29,0.21,0.02,0.11,0.08,0.09,0.01,0.02,0.04,0.08,0.09,0.12,0.32,2.957,0,1.034,0.009,0,0,0.002,0.008,0.024,0.301,0.675,5.01,0.01,0,0.011,0.005,0,0,0.002,0.002,0.003,0.015,0.014,0.03,0.002,0.3,0.673,0.024,0.002,0.011,0.011,0.003
BB11-1,U,64.01,0,18.84,0.63,0,0,0,0.14,1.25,1.21,14.23,100.31,0.21,0.02,0.11,0.08,0.09,0.01,0.02,0.04,0.08,0.05,0.14,0.32,2.962,0,1.028,0.022,0,0,0,0.004,0.023,0.109,0.84,4.987,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.01,0.016,0.03,0,0.112,0.865,0.023,0,0.009,0.01,0.003
BB11-1,U,64.12,0.12,18.56,0.51,0,0,0,0.11,1.24,1.65,14.16,100.47,0.21,0.03,0.11,0.09,0.08,0.01,0.03,0.03,0.08,0.06,0.14,0.32,2.965,0.004,1.012,0.018,0,0,0,0.003,0.022,0.148,0.835,5.007,0.01,0.002,0.011,0.006,0,0,0,0.002,0.003,0.011,0.016,0.03,0,0.147,0.831,0.022,0,0.01,0.01,0.003
BB11-1,U,64.9,0,19.23,0.68,0,0,0.07,0.18,1.63,3.59,10.56,100.84,0.21,0,0.11,0.08,0.09,0.02,0.02,0.04,0.09,0.09,0.12,0.32,2.957,0,1.032,0.023,0,0,0.003,0.005,0.029,0.317,0.614,4.981,0.01,0,0.011,0.006,0,0,0.002,0.002,0.003,0.015,0.014,0.03,0.004,0.329,0.637,0.03,0.002,0.012,0.011,0.003
BB11-1,U,62.17,0,19.14,0.45,0,0,0,0,2.91,1.01,14.51,100.19,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.11,0.05,0.14,0.33,2.925,0,1.061,0.016,0,0,0,0,0.054,0.092,0.871,5.018,0.01,0,0.011,0.005,0,0,0,0,0.004,0.009,0.016,0.02,0,0.091,0.857,0.053,0,0.008,0.009,0.004
BB11-1,U,62.83,0,18.89,0.42,0,0,0,0.1,3.29,0.94,13.78,100.25,0.21,0.02,0.11,0.08,0.08,0,0.02,0.04,0.12,0.05,0.13,0.32,2.947,0,1.044,0.015,0,0,0,0.003,0.06,0.085,0.824,4.979,0.01,0,0.011,0.005,0,0,0,0.002,0.004,0.009,0.016,0.02,0,0.088,0.85,0.062,0,0.009,0.009,0.004
BB11-1,U,65.26,0,19.01,0.55,0,0,0,0.16,0.74,3.33,11.73,100.78,0.21,0,0.11,0.08,0.08,0.02,0,0.04,0.07,0.08,0.12,0.32,2.969,0,1.019,0.019,0,0,0,0.004,0.013,0.294,0.681,4.999,0.01,0,0.011,0.005,0,0,0,0.002,0.003,0.015,0.014,0.03,0,0.297,0.689,0.013,0,0.012,0.012,0.003
