Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,An,Ab,Or,Cn
BB11-1,U,63.55,0.02,19.32,0.81,0.09,0.01,0.02,0.23,1.95,0.69,14.53,0.21,0.03,0.11,0.09,0.09,0.00,0.02,0.04,0.10,0.04,0.14,2.936,0.001,1.052,0.028,0.004,0.001,0.001,0.006,0.035,0.062,0.856,4.982,0.010,0.002,0.011,0.006,0.007,0.000,0.002,0.002,0.004,0.007,0.016,0.001,0.065,0.897,0.037
BB11-1,U,65.34,0.02,18.74,0.91,0.18,0.01,0.04,0.12,0.95,3.37,11.60,0.21,0.03,0.11,0.09,0.09,0.01,0.02,0.04,0.08,0.08,0.12,2.967,0.001,1.003,0.031,0.007,0.001,0.002,0.003,0.017,0.297,0.672,5.000,0.010,0.002,0.011,0.006,0.007,0.001,0.002,0.002,0.003,0.014,0.014,0.002,0.300,0.680,0.017
BB11-1,U,64.56,0.02,19.09,0.77,0.11,0.01,0.02,0.12,1.34,2.35,12.93,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.09,0.07,0.13,2.951,0.001,1.028,0.026,0.004,0.001,0.001,0.003,0.024,0.208,0.754,5.002,0.010,0.002,0.011,0.005,0.007,0.001,0.002,0.002,0.003,0.012,0.015,0.001,0.211,0.764,0.024
BB11-1,U,64.36,0.02,19.09,0.27,0.10,0.01,0.05,0.29,1.33,3.38,11.52,0.21,0.02,0.11,0.08,0.09,0.01,0.02,0.04,0.08,0.09,0.12,2.955,0.001,1.033,0.009,0.004,0.001,0.002,0.008,0.024,0.301,0.675,5.011,0.010,0.001,0.011,0.006,0.007,0.001,0.002,0.002,0.003,0.016,0.014,0.002,0.300,0.673,0.024
BB11-1,U,64.01,0.02,18.84,0.63,0.09,0.01,0.02,0.14,1.25,1.21,14.23,0.21,0.02,0.11,0.08,0.09,0.01,0.02,0.04,0.08,0.05,0.14,2.960,0.001,1.027,0.022,0.004,0.001,0.001,0.004,0.023,0.108,0.839,4.989,0.010,0.001,0.011,0.006,0.007,0.001,0.002,0.002,0.003,0.009,0.016,0.001,0.112,0.864,0.023
BB11-1,U,64.12,0.12,18.56,0.51,0.09,0.01,0.02,0.11,1.24,1.65,14.16,0.21,0.03,0.11,0.09,0.08,0.01,0.03,0.03,0.08,0.06,0.14,2.963,0.004,1.011,0.018,0.004,0.001,0.001,0.003,0.022,0.148,0.835,5.009,0.010,0.002,0.011,0.006,0.006,0.001,0.003,0.002,0.003,0.011,0.016,0.001,0.147,0.830,0.022
BB11-1,U,64.90,0.02,19.23,0.68,0.09,0.01,0.07,0.18,1.63,3.59,10.56,0.21,0.00,0.11,0.08,0.09,0.02,0.02,0.04,0.09,0.09,0.12,2.955,0.001,1.032,0.023,0.003,0.001,0.003,0.005,0.029,0.317,0.613,4.982,0.010,0.000,0.011,0.005,0.007,0.003,0.002,0.002,0.003,0.016,0.014,0.004,0.329,0.637,0.030
BB11-1,U,62.17,0.02,19.14,0.45,0.10,0.01,0.02,0.04,2.91,1.01,14.51,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.11,0.05,0.14,2.922,0.001,1.060,0.016,0.004,0.001,0.001,0.001,0.054,0.092,0.870,5.021,0.010,0.002,0.011,0.006,0.007,0.001,0.002,0.002,0.004,0.009,0.017,0.001,0.091,0.856,0.053
BB11-1,U,62.83,0.02,18.89,0.42,0.09,0.01,0.02,0.10,3.29,0.94,13.78,0.21,0.02,0.11,0.08,0.08,0.00,0.02,0.04,0.12,0.05,0.13,2.944,0.001,1.043,0.015,0.004,0.001,0.001,0.003,0.060,0.085,0.824,4.981,0.010,0.001,0.011,0.006,0.006,0.000,0.002,0.002,0.004,0.009,0.015,0.001,0.088,0.849,0.062
BB11-1,U,65.26,0.02,19.01,0.55,0.10,0.01,0.02,0.16,0.74,3.33,11.73,0.21,0.00,0.11,0.08,0.08,0.02,0.00,0.04,0.07,0.08,0.12,2.967,0.001,1.018,0.019,0.004,0.001,0.001,0.004,0.013,0.293,0.680,5.001,0.010,0.000,0.011,0.005,0.006,0.003,0.000,0.002,0.002,0.014,0.014,0.001,0.297,0.689,0.013
