Sample,Coal,SiO2,TiO2,Al2O3,Y2O3,Ce2O3,Fe2O3,CaO,P2O5,Nb2O5,Ta2O5,Total,sSiO2,sTiO2,sAl2O3,sY2O3,sCe2O3,sFe2O3,sCaO,sP2O5,sNb2O5,sTa2O5,sTotal,Si,Ti,Al,Y,Ce,Fe3,Ca,P,Nb,Ta,Sum,sSi,sTi,sAl,sY,sCe,sFe3,sCa,sP,sNb,sTa,sSum,Ce+Y,Al,Fe3,sCe+Y,sAl,sFe3
BB11-1,U,29.4,39.11,0.35,0.05,0.17,2.38,26.86,0.04,0.04,0,98.4,0.09,0.18,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.98,0.981,0.014,0.001,0.002,0.06,0.959,0.001,0.001,0,2.998,0.005,0.006,0.001,0,0.001,0.002,0.008,0.001,0,0,0.012,0.04,0.18,0.78,0.011,0.008,0.012
BB11-1,U,29.5,38.41,0.37,0,0.16,2.25,26.93,0.04,0.1,0,97.75,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.06,0.24,0.989,0.969,0.014,0,0.002,0.057,0.967,0.001,0.002,0,3.001,0.005,0.006,0.001,0,0.001,0.002,0.008,0.001,0.001,0,0.012,0.026,0.197,0.776,0.01,0.009,0.012
BB11-1,U,29.94,37.73,0.39,0.05,0.19,2.29,26.76,0,0.09,0,97.43,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.006,0.954,0.015,0.001,0.002,0.058,0.963,0,0.001,0,3,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0.001,0,0.012,0.042,0.202,0.756,0.011,0.009,0.012
BB11-1,U,29.78,36.82,1.24,0.07,0.17,2.29,27.12,0,0,0,97.49,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1,0.93,0.049,0.001,0.002,0.058,0.975,0,0,0,3.015,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0,0,0.012,0.03,0.446,0.524,0.008,0.01,0.01
BB11-1,U,29.46,38.5,0.75,0.04,0.22,2.23,26.95,0,0.05,0,98.2,0.09,0.18,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.984,0.967,0.029,0.001,0.003,0.056,0.964,0,0.001,0,3.004,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0,0,0.012,0.039,0.331,0.63,0.009,0.01,0.011
BB11-1,U,29.75,39,0.6,0,0.3,1.67,27.05,0,0.14,0,98.52,0.09,0.18,0.01,0.01,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.989,0.975,0.023,0,0.004,0.042,0.963,0,0.002,0,2.998,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0.001,0,0.012,0.054,0.341,0.606,0.01,0.011,0.013
BB11-1,U,29.54,38.47,0.66,0.07,0.41,1.98,26.94,0,0.15,0,98.22,0.09,0.18,0.01,0.01,0.03,0.03,0.12,0,0.02,0.05,0.24,0.987,0.967,0.026,0.001,0.005,0.05,0.964,0,0.002,0,3.002,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0.001,0,0.012,0.076,0.318,0.606,0.01,0.01,0.012
BB11-1,U,28.84,38.96,0.4,0.05,0.16,1.72,26.7,0.04,0.06,0,96.95,0.09,0.18,0.01,0.01,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.975,0.991,0.016,0.001,0.002,0.044,0.968,0.001,0.001,0,2.999,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.048,0.256,0.697,0.013,0.011,0.014
BB11-1,U,28.91,37.66,0.4,0,0.16,1.85,26.61,0.06,0.07,0,95.73,0.09,0.17,0.01,0.01,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.99,0.969,0.016,0,0.002,0.048,0.976,0.002,0.001,0,3.004,0.005,0.006,0.001,0,0.001,0.002,0.008,0.001,0.001,0,0.012,0.031,0.247,0.722,0.01,0.01,0.013
BB11-1,U,30.35,40.85,0.38,0,0.16,2.34,27.97,0,0.06,0,102.1,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.975,0.987,0.014,0,0.002,0.057,0.963,0,0.001,0,2.999,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0,0,0.011,0.026,0.195,0.778,0.009,0.009,0.011
